Day	Date 	  Open   	  High   	  Low   	  Close   
Tuesday	27-Jun-00	" 1,452.80 "	" 1,467.15 "	" 1,448.95 "	" 1,454.30 "
Wednesday	28-Jun-00	" 1,453.70 "	" 1,474.70 "	" 1,445.60 "	" 1,470.00 "
Thursday	29-Jun-00	" 1,471.35 "	" 1,505.75 "	" 1,471.35 "	" 1,492.35 "
Friday	30-Jun-00	" 1,490.20 "	" 1,490.65 "	" 1,462.45 "	" 1,471.45 "
Monday	3-Jul-00	" 1,473.45 "	" 1,498.70 "	" 1,473.45 "	" 1,495.25 "
Tuesday	4-Jul-00	" 1,496.15 "	" 1,516.80 "	" 1,494.80 "	" 1,511.30 "
Wednesday	5-Jul-00	" 1,511.50 "	" 1,530.90 "	" 1,511.50 "	" 1,526.05 "
Thursday	6-Jul-00	" 1,525.15 "	" 1,525.15 "	" 1,504.05 "	" 1,516.80 "
Friday	7-Jul-00	" 1,517.00 "	" 1,528.15 "	" 1,513.40 "	" 1,517.60 "
Monday	10-Jul-00	" 1,518.15 "	" 1,523.20 "	" 1,502.70 "	" 1,509.65 "
Tuesday	11-Jul-00	" 1,510.55 "	" 1,523.10 "	" 1,506.15 "	" 1,518.55 "
Wednesday	12-Jul-00	" 1,518.70 "	" 1,537.10 "	" 1,507.95 "	" 1,533.35 "
Thursday	13-Jul-00	" 1,535.55 "	" 1,564.75 "	" 1,513.65 "	" 1,522.60 "
Friday	14-Jul-00	" 1,522.20 "	" 1,534.35 "	" 1,505.90 "	" 1,509.75 "
Monday	17-Jul-00	" 1,509.25 "	" 1,512.25 "	" 1,475.15 "	" 1,479.65 "
Tuesday	18-Jul-00	" 1,479.30 "	" 1,482.90 "	" 1,458.60 "	" 1,463.10 "
Wednesday	19-Jul-00	" 1,464.55 "	" 1,468.55 "	" 1,432.85 "	" 1,435.80 "
Thursday	20-Jul-00	" 1,434.95 "	" 1,443.25 "	" 1,416.00 "	" 1,424.20 "
Friday	21-Jul-00	" 1,424.90 "	" 1,435.20 "	" 1,394.30 "	" 1,397.25 "
Monday	24-Jul-00	" 1,397.05 "	" 1,397.05 "	" 1,310.85 "	" 1,317.75 "
Tuesday	25-Jul-00	" 1,317.35 "	" 1,363.45 "	" 1,269.25 "	" 1,348.90 "
Wednesday	26-Jul-00	" 1,350.80 "	" 1,371.80 "	" 1,315.15 "	" 1,318.25 "
Thursday	27-Jul-00	" 1,317.00 "	" 1,342.75 "	" 1,291.30 "	" 1,338.05 "
Friday	28-Jul-00	" 1,337.70 "	" 1,359.40 "	" 1,327.95 "	" 1,333.80 "
Monday	31-Jul-00	" 1,333.30 "	" 1,343.65 "	" 1,317.30 "	" 1,332.85 "
Tuesday	1-Aug-00	" 1,332.85 "	" 1,344.50 "	" 1,322.60 "	" 1,326.85 "
Wednesday	2-Aug-00	" 1,323.70 "	" 1,333.85 "	" 1,312.25 "	" 1,331.90 "
Thursday	3-Aug-00	" 1,330.70 "	" 1,339.40 "	" 1,319.00 "	" 1,321.25 "
Friday	4-Aug-00	" 1,320.25 "	" 1,333.15 "	" 1,302.65 "	" 1,318.55 "
Monday	7-Aug-00	" 1,319.70 "	" 1,321.70 "	" 1,299.90 "	" 1,310.80 "
Tuesday	8-Aug-00	" 1,312.10 "	" 1,348.25 "	" 1,311.15 "	" 1,345.60 "
Wednesday	9-Aug-00	" 1,345.95 "	" 1,363.95 "	" 1,341.05 "	" 1,344.95 "
